name,gender
"ERWIN TJAHJONO","male"
"DAVIANDRIE ANDIKA BAHROENY","male"
"ELAN KURNIAWAN","male"
"AYU DWI CAHYANING MUKTI","female"
"WAHYOEDIN","male"
"NURHAENI","female"
"HARDINA PUTRI KINANTY Z","female"
"HJ.SUKAINI","female"
"GIOVANNI SHELLA","female"
"HADI SOEROTO","male"
"BENO FIRMANTO","male"
"HERNANI","female"
"TANDE AULY MARYUN","male"
"SUTOMO","male"
"IRAWAN","male"
"RUMANAH","female"
"ULYA RIDHA MAFAZAH","female"
"MARDIANAH","female"
"YUNITA WATI","female"
"MARLEINA RISALDI B,SH.","female"
"IMANIAR","female"
"MOH RIDWAN","male"
"RUSMINIWATI MANSUR","female"
"TIRMIDZI","male"
"FAJAR HIDAYATI S PD","female"
"LIA SAFIRA","female"
"SUNAYA","female"
"MARINEM","female"
"MUH RISYAD AKBAR","male"
"REZA NOER ARIFIN","male"
"WIERNA","female"
"SIERA SIMIN","female"
"MUHAMAD YUSUF BAHARUDDIN S.M ALA","male"
"LEDD FRANCISCO","male"
"JAMSUNI","male"
"ABDUL RAHMAN","male"
"LAURA BASUKI","female"
"RUMSANIH","female"
"ADE SUNARIAH","female"
"GITA SAFIERA TRIRANTI","female"
"ANDRIS","male"
"IDA ZUBAIDAH","female"
"ASEP AGUS SUPRIYANTO","male"
"JULIZAR AS","male"
"WAJIYONO","male"
"SUTIYAH","female"
"BEANA CHIARA MIDESYA","female"
"MERLINA MARGARETHA","female"
"WARINI","female"
"MULYANAH M.","female"
"ASLAM JUSUF HARABA","male"
"ARIF BUCHORI","male"
"HJ.JAUMADINA","female"
"RUMSARI","female"
"DORLAN NORMAIDA SIAGIAN","female"
"ERIC CHANDRA","male"
"NORMAN","male"
"NY.ISWATUN","female"
"ALEXANDER IVAN ANDWIKAPUTRA","male"
"SYLVIA ROSIDI","female"
"SRI SURIPNI","female"
"TIA NOVIANTI","female"
"KHODIJAH","female"
"RATNA SARI","female"
"JANTI BUDISULISTYO.SH","female"
"GENEVIEVE IRENE DEBORA S","female"
"FRANCISCA KURNIA","female"
"AUDY JOANA","female"
"CATHERINE, KHO","female"
"SEPTIAN KHAIRUDIN","male"
"SRI SUKARTI","female"
"NYAMIN BIANTORO","male"
"RENDY RINALDY","male"
"LULU NURAINI","female"
"DRS A EDDY KURNIA,MM","male"
"INDRA IRAWAN","male"
"LIEM LINDA LAMBERT","female"
"AMIR HAMZAH","male"
"ANGGI YUANITA RACHMAT","female"
"DIONI SELA SETYOWARDANI","female"
"INGRID WIBOWO","female"
"ROSINTA SIREGAR","female"
"INDRA RENALDI","male"
"ADHI SUSATYO","male"
"STEVEN WILLIAM HARRIS","female"
"DIRGA EKA CAHYA","male"
"AFRIZAL","male"
"KAMBRA NOFERI","male"
"SYAIFUL ANWAR","male"
"YAYUK MULYATI","female"
"HADIDJAH BIN MINAN","female"
"SITI ZULAIKHA","female"
"DAAN HALIM","male"
"DANARDONO","male"
"JAMES O WAHI","male"
"TIRTA JANUARDI","male"
"MULYADI","male"
"NIA KURNIATI","female"
"DENNY ROFINATA","male"
"KRISTINAWATI TOLI","female"
"ZAKIAH","female"
"NIKO AGIT PRASTIYO","male"
"DESWARDHANY YUSUF","female"
"FAUZAN RAMADHAN","male"
"TUTI SUWARTI","female"
"",""
"SUGIANTO ALEXCHANDRA","male"
"SRIYATI","female"
"DJUWARNI","female"
"DRA.TATY FATMAH JUWONO","female"
"JEFFREY WIJAYA CHENDRA","male"
"INDRA GUNAWAN","male"
"RODIAH","female"
"TRI JOKO WALUYO","male"
"WALID PRIAMBODO","male"
"MAULANA","male"
"AYUNI ROMYN","female"
"JOE TJOE TJONG","male"
"M IQBAL TAWAKKAL","male"
"ANA LESTARI BUDIARTI","female"
"EKA LISTIANAWATI","female"
"EDO KISARA GABRIEL","male"
"EGA AYU LESTARI","female"
"HAUW SOAT TJENG","female"
"ISTIAWATI","female"
"DRS.HERMAN LUKMAN","male"
"AGUSTINA IKAWATI","female"
"JUHADI","male"
"M U B I N","male"
"HERMAN","male"
"NOVITA SARI","female"
"RETNO AJENG SAPUTRI","female"
"SUPRIYATI W","female"
"ELLISSA PRIYANKA","female"
"RATNA DAMAYANTI SANTOSO","female"
"MARSINAH","female"
"ENI DWI YANTI","female"
"DWI AGUS BUDIONO","male"
"SETYAWAN SURYANTO","male"
"HERMAN","male"
"MOHAMMAD CHOLIL","male"
"RIKA ANDESTA","female"
"AGIS GILANG SETIAWAN","male"
"TUTI ALAWIYAH","female"
"DEDI ROJIK","male"
"SIT`IN FERASANI","female"
"MUHAMAD HAERUL SANI","male"
"DAMIR B SAYAR","male"
"RAFI IDAMAN MANSOER","male"
"SOEJATNO SOEKIDJO","male"
"IRAWANSYAH PUTRA","male"
"ALIYAH","female"
"KUNI SUGIHMURNI","female"
"MERI","female"
"ASELIH BIN GERING","male"
"RANI FAUZIAH","female"
"IR. MOCHAMAD SAID","male"
"MULYADI","male"
"DENI HERMANSYAH","male"
"R ERTI HADIYATI, SH","female"
"SARTI RETNOWATI","female"
"YUVENALIS GEA","male"
"MISWARSI","female"
"RANGGA SAP[UTRA PRATAMA","male"
"MIFTAH","female"
"ARIYANTO SETIAWAN","male"
"NOER FITRIANTO PRIYO HUTOMO","male"
"R. HADI MURHANDANU SE","male"
"JUWAIRIYAH MURDIN","female"
"JUWARIYAH","female"
"NURHAYATI","female"
"BUNYANAH","female"
"RR REVIANTI WIDYA A SSN","female"
"RIO PRAHARA","male"
"YOGI ARIEF WIWEKA","male"
"STEFANUS JONATHAN","male"
"RIZKI PRAMITA RAMADHINI","female"
"AGUS HERMAWAN","male"
"KOMARIAH","female"
"ROKHATININGSIH","female"
"SITI FATIMAH","female"
"BADRIYAH","female"
"SUDIARTI","female"
"NURJANAH","female"
"M.YUSUF","male"
"DANDI HAMBALI","male"
"RADHAR HASTI HANDAJANI","female"
"DWI NOVIANI","female"
"SUPARDI GULTOM","male"
"NUR NOVITA ANGGRAENI","female"
"SAPRIZAL","male"
"NANA WIATNA","male"
"YERRI DWI LESTIANTO","male"
"MARPUAH","female"
"",""
"SUZIE HARJANTO","female"
"MURIANI SABILA","female"
"ROYA","female"
"PUDJI ASTUTI DHARMAKADAR","female"
"EDWARD JOURDAN SATRIO","male"
"HARJON PANDIANGAN","male"
"J.PRIHADIJANTO","male"
"SAMUEL DAVIDSON HASAN","male"
"FONG FELIX","male"
"WATININGSIH","female"
"IR S ROHANA SIREGAR","female"
"DRA.IRIANA MOKA","female"
"W HARYO SUSANTO","male"
"HADIDJAH","female"
"PUTRI ANJANI","female"
"DRS AMANAN","male"
"R HIDAYATULLAH","male"
"DRG.DINA INDIRAWATI","female"
"RR.ARUNA INDIRA MAYA.P","female"
"SUBHY SHALIH","male"
"RAMSAH","female"
"SAKIYONO","male"
"ALVIN ALDIANSYAH ARDAN","male"
"FELICIA AMANDA KURNIA","female"
"ALDHI YUDISTIRA","male"
"MARIA A PAKPAHAN","female"
"SUGENG","male"
"RATNA SARI","female"
"SUMIATI HASAN","female"
"MUNIRI","male"
"JAKA ABYASA","male"
"APRIANA KRISTYANTI","female"
"DR ACHMAD FAISAL","male"
"SUTJIATI R","female"
"ERNIE SETIAWATI","female"
"DONI PRAMONO","male"
"RASHA ALWAHDY","female"
"ASTRID SUTANTO","female"
"NAHROJIH","male"
"TM ZAHIRSYAH,SH.","male"
"PERMAS DEWANGI","female"
"RIFALDIE MUHAMMAD","male"
"MAHARDI TJAHYADI","male"
"M HERSA ANGGA NYOVONSA","male"
"KARINA VANESSA","female"
"ROHMANI","female"
"NY.ANNE KENCANA NURWATI","female"
"DJURIAH BT RUSTAM","female"
"KHOIRUL ANAM","male"
"JULIANA HALIM","female"
"AMIR MAYZARDIN","male"
"REYTA","female"
"ROMI JUARSANDI","male"
"KHAERUDIN JAMIL","male"
"IR.ABDUL CHOIR","male"
"INTAN RAHMA SARI","female"
"FARIDAH","female"
"KARTINAH","female"
"SYALOOMUS LYNODON MARTAWINATA","male"
"IKIH BT.SAIH","female"
"TRI SUBIYANTO","male"
"IRMA","female"
"DARINIS","female"
"FITRI","female"
"BIMO HARDONO","male"
"SUMIAH SASTROWIRONO","female"
"MELDAWATI","female"
"HANAFI","male"
"RAFINDRA DZAKYATHA ANINDITO","male"
"ADE KURNIA","male"
"EVANDARI","male"
"HILDA FAUZIAH","female"
"",""
"ARIEF AKBAR ALI RIFAI","male"
"ZAINI B. EMIN","male"
"DEWI RIYANTHI","female"
"DIKA SUHERPAN","male"
"WARTINI","female"
"SOBIRIN","male"
"NINUK ISMARYAM","female"
"HIKMAH KURNIASARI","female"
"DENY AKBAR","male"
"NURHAYATI","female"
"DEDY JANUAR","male"
"H SITI HAWA","female"
"RENI WIDAYATI BA","female"
"MURYOTO","male"
"INDERIWATI","female"
"NOOR MEGIA IMELDA","female"
"YUYUN","female"
"MUNADIH","male"
"SITI ANNYSAH ASTITIARA (ASTI)","female"
"NIKEN PRISKILA MUNTHE S IP","female"
"KYLABELLE G P","female"
"SCORLINA","female"
"FRIETJE SOEPRIYADI","female"
"RIO MUTAZ HARYADI","male"
"GUSTI AYU KARTIKA CANDRA","female"
"MADASIN","male"
"ETI RAHMAWATI","female"
"HJ.JULIA BM DIAH","female"
"IAN PRANANDI","male"
"SITI ROCHANI SUHARTO","female"
"HARIS","male"
"TUTI ALAWIYAH","female"
"",""
"YUYUN NURBAYA","female"
"ALI SUHERI","male"
"LANNY PELAPORY","female"
"BAHRUDIN","male"
"RIA ASTRIA. G","female"
"SANDI ASEP","male"
"DITTA HASNIATY","female"
"FATMAH","female"
"ASTRID KAUNANG","female"
"RENI PURWANINGSIH","female"
"IR.BUNBUN DJOLODRIO A","male"
"ASTARI ARFIANA WINDIASTI","female"
"ANTHONY D FERDINANDUS","male"
"ZULKIFLI NURDIN","male"
"RAHMAENI","female"
"DIMITRI ARDITYA H","male"
"SUJAI SUWANDA SE","male"
"SITI SUMAILAH","female"
"EUGENE ALFATHAN SATRYO","male"
"TARYO  SE","male"
"IRFAN FARIA","male"
"HARUN","male"
"NADIAH OKTAVIA","female"
"DRS.SURADJI, MA","male"
"ASWIN","male"
"YUSTINAH","female"
"HARIO PRADIPTO WISHNU K.","male"
"DEBBY WULANDARI","female"
"SUHERRY","male"
"YOHANES DICKY WINDYANARKO","male"
"MAHILAH BARKAH","female"
"LINDRIATI SARI BOEDISOETRISNO","female"
"SIKUS SISKA WATI","female"
"MUHAMMAD HARI YUDIYONO","male"
"",""
"WOWONG SOFYIAN","male"
"JOSEPH WINDYANA TRI","male"
"ABDUL HARIS","male"
"AMELIA","female"
"EDDY ZULKARNAIN","male"
"NY. SITI SARAH","female"
"DISKA AMELIA","female"
"PUJI ASTUTI","female"
"INNO TANAYA","male"
"RESA ROSANA","female"
"SUTIMAN","male"
"SITI RACHMAH","female"
